"ORDER_DATE","PROFIT"
"2004-11-24",49430
"2003-12-02",48577.57
"2003-11-14",48464.82
"2004-10-16",41108.13999999999
"2004-11-04",41012.350000000006
"2003-11-12",40403.87
"2003-11-06",39729.499999999985
"2004-11-17",38528.61000000001
"2003-11-05",33688.009999999995
"2004-10-22",33627.56000000001
"2005-02-17",32690.190000000002
"2005-04-08",32503.79
"2004-12-10",32222.04
"2004-11-01",32202.000000000007
"2004-11-05",31956.78
"2004-08-20",31930.570000000007
"2004-09-08",31562.12
"2003-11-20",31483.700000000008
"2003-11-25",31135.570000000003
"2003-11-26",30766.329999999998
"2004-10-14",29314.589999999997
"2005-05-31",28481.03
"2004-06-15",27310.119999999995
"2003-10-22",26465.569999999996
"2004-05-05",26394.69
"2004-12-04",25636.490000000005
"2004-10-15",25053.399999999994
"2003-10-06",25041.19
"2004-07-20",24851.37
"2004-08-30",24714.509999999995
"2003-10-10",24581.019999999997
"2005-04-01",24355.510000000002
"2005-03-03",24307.050000000007
"2003-06-03",24097.07
"2004-10-21",23923.36
"2003-05-28",23565.18
"2003-08-08",22591.770000000004
"2003-12-09",22461.459999999995
"2004-07-21",22377.02
"2004-01-15",22311.180000000008
"2004-08-02",22285.85
"2004-10-11",22201.08
"2004-02-19",22089.35
"2005-03-04",22070.38
"2003-07-02",21908.969999999998
"2004-01-16",21873.979999999992
"2004-04-13",21729.71
"2004-11-23",21598.48
"2004-11-29",21539.370000000006
"2005-04-22",21432.230000000003
"2003-02-11",21374.329999999998
"2003-02-17",21298.22
"2005-02-10",21254.539999999997
"2005-01-20",21172.170000000002
"2003-11-04",21160.05
"2004-11-20",21097.09
"2004-07-06",20809.319999999996
"2005-05-29",20795.07
"2003-08-25",20680.690000000002
"2003-03-18",20489.510000000002
"2005-02-03",20332.559999999998
"2004-08-17",20206.44
"2003-12-01",20073.350000000006
"2004-11-15",19920.74
"2003-03-03",19871.44
"2005-05-03",19805.160000000003
"2004-11-03",19546.200000000004
"2004-01-02",19397.019999999997
"2003-10-28",19310.150000000005
"2005-01-31",19276.91
"2004-12-16",19116.110000000004
"2005-05-17",18883.81
"2003-01-29",18827.11
"2004-02-22",18679.24
"2004-06-28",18602.52
"2004-10-13",18538.309999999998
"2003-04-29",18514.18
"2003-11-11",18420.329999999994
"2004-01-12",18374.31
"2004-02-20",18347.79
"2003-05-08",18285.770000000004
"2004-07-23",17951.01
"2005-03-01",17931.74
"2003-04-16",17838.750000000004
"2004-08-27",17799.380000000005
"2005-03-30",17767.539999999997
"2005-01-12",17692.79
"2005-05-06",17585.6
"2004-12-02",17428.370000000003
"2003-09-28",17427.469999999998
"2004-03-02",17420.579999999998
"2005-01-06",17351.67
"2004-05-11",17144.93
"2004-12-01",16976.389999999996
"2004-03-11",16760.12
"2003-09-11",16644.53
"2004-07-12",16009.86
"2003-12-05",15958.379999999997
"2003-05-21",15749.46
"2003-01-31",15680.8
"2004-09-01",15628.79
"2003-08-10",15435.359999999999
"2003-07-24",15402.889999999998
"2004-11-12",15126.979999999998
"2004-11-02",15060.770000000004
"2005-04-03",15031.34
"2003-11-21",15018.82
"2004-01-29",14815.82
"2004-08-19",14771.810000000001
"2003-09-19",14634.099999999999
"2004-09-30",14611.710000000001
"2005-04-29",14585.199999999999
"2005-02-22",14580.269999999999
"2005-01-23",14522.449999999999
"2003-04-28",14482.44
"2003-11-18",14464.2
"2003-10-21",14300.61
"2004-05-18",14116.100000000002
"2004-06-03",14006.240000000003
"2003-10-17",13952.670000000002
"2004-09-09",13894.189999999997
"2005-04-14",13654.46
"2005-02-16",13571.77
"2003-11-08",13549.969999999998
"2003-10-18",13543.25
"2003-09-21",13394.98
"2004-08-06",13310.910000000002
"2004-12-15",13266.869999999999
"2004-12-17",13196.670000000002
"2004-09-15",13033.350000000002
"2004-05-04",12997.390000000001
"2004-08-21",12977.340000000002
"2003-09-12",12938.779999999999
"2003-04-01",12844.38
"2005-05-13",12757.719999999998
"2004-07-19",12734.43
"2003-10-05",12688.42
"2004-03-30",12560.119999999997
"2005-05-10",12499.670000000002
"2003-09-05",12452.760000000002
"2004-02-12",12358
"2005-03-11",12266.4
"2003-07-07",12131.33
"2005-05-05",11985.509999999997
"2003-11-13",11976.300000000001
"2003-11-07",11714.6
"2004-03-15",11684.5
"2003-03-10",11642.42
"2005-01-26",11554.270000000002
"2004-04-09",11510.640000000001
"2005-03-09",11504.88
"2004-01-26",11237.06
"2003-06-12",11138.160000000002
"2003-08-01",11020.260000000002
"2004-11-18",10986.98
"2003-07-01",10946.75
"2004-05-26",10892.55
"2004-04-02",10829.739999999998
"2005-05-01",10719.26
"2004-04-29",10542.939999999999
"2005-03-23",10282.939999999999
"2004-11-19",10276.179999999998
"2004-12-09",10240.59
"2003-11-15",10210.62
"2003-07-16",9880.380000000001
"2005-05-16",9829.199999999997
"2004-04-05",9684.26
"2004-12-07",9643.189999999999
"2004-02-26",9505.35
"2004-12-03",9481.26
"2003-11-27",9442.780000000002
"2003-02-24",9307.77
"2003-10-04",9223.32
"2003-10-20",9122.07
"2004-11-25",9013.04
"2004-03-20",8996.940000000002
"2005-02-09",8888.43
"2004-11-21",8880.7
"2004-03-10",8846.27
"2003-06-27",8844.850000000002
"2005-02-02",8765.480000000003
"2004-09-10",8740.89
"2004-02-21",8723.060000000001
"2004-01-09",8598.509999999998
"2003-06-16",8563.14
"2004-06-30",8234.09
"2004-11-10",8145.21
"2004-06-17",8059.5
"2003-04-04",7998.779999999999
"2005-04-15",7997.389999999999
"2004-02-04",7813.659999999999
"2003-05-07",7313.5
"2004-10-29",7304.22
"2004-07-07",7293.35
"2004-03-19",7238.699999999999
"2004-09-16",7230.289999999999
"2005-03-17",7203.469999999999
"2004-08-09",7085.670000000001
"2005-03-15",6933.830000000001
"2004-11-09",6813.71
"2004-11-16",6673.459999999999
"2003-05-20",6673.08
"2003-10-11",6329.860000000001
"2003-07-10",6232.26
"2003-10-09",6216.39
